Unnamed: 0,store_ID,day_of_week,nb_customers_on_day,open,promotion,state_holiday,school_holiday,year,month,day,sales
0,415,7,0,0,0,0,0,2015.0,1.0,3.0,0.0
0,27,7,0,0,0,0,0,,,,0.0
0,404,3,657,1,1,0,0,,,,6117.44
0,683,2,862,1,0,0,0,,,,7825.08
0,920,3,591,1,1,0,0,,,,5795.15
0,758,4,569,1,0,0,0,,,,4716.79
0,563,1,321,1,1,0,0,,,,3392.86
0,930,6,1367,1,0,0,0,,,,7609.48
0,756,4,0,0,1,1,0,2015.0,4.0,6.0,0.0
0,49,2,546,1,1,0,0,,,,7082.08
0,787,4,968,1,0,0,1,,,,7485.11
0,782,4,472,1,0,0,0,,,,4564.44
0,897,7,0,0,0,0,0,,,,0.0
0,933,1,965,1,0,0,0,2013.0,9.0,12.0,7060.06
0,218,2,804,1,0,0,1,2015.0,7.0,4.0,7078.35
0,554,3,499,1,1,0,1,2013.0,9.0,10.0,4649.46
0,362,1,1337,1,1,0,1,2013.0,12.0,8.0,13450.68
0,655,3,560,1,0,0,0,2014.0,9.0,4.0,5803.79
0,785,3,461,1,0,0,1,,,,4684.11
0,690,3,866,1,1,0,0,,,,7568.46
0,1103,7,0,0,0,0,0,,,,0.0
0,431,1,1367,1,1,0,0,2014.0,2.0,6.0,13632.69
0,127,2,642,1,1,0,0,,,,6887.83
0,579,5,0,0,1,2,1,,,,0.0
0,248,6,1139,1,0,0,0,2013.0,3.0,8.0,7654.71
0,962,6,0,0,0,0,0,2014.0,11.0,1.0,0.0
0,224,2,515,1,1,0,1,,,,6307.35
0,208,3,355,1,1,0,1,,,,2819.31
0,401,1,1063,1,1,0,0,,,,11132.51
0,503,7,0,0,0,0,0,,,,0.0
0,221,4,562,1,1,0,0,2015.0,5.0,3.0,6458.74
0,268,7,0,0,0,0,0,2014.0,2.0,11.0,0.0
0,799,2,927,1,1,0,1,,,,9918.6
0,260,6,894,1,0,0,0,,,,7334.38
0,1041,2,594,1,0,0,0,2015.0,10.0,3.0,5042.84
0,350,2,533,1,1,0,0,,,,7026.58
